action,cycle_id,link_id,link_mbps,link_monitor,link_usage_norm,rx_mbps,rx_pps,timestamp,tx_mbps,tx_pps
route_mutation,20260623T155502_077011,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,3.16,2026-06-23T15:55:02,0.002,3.23
route_mutation,20260623T155502_077011,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,3.06,2026-06-23T15:55:02,0.002,3.06
route_mutation,20260623T155502_077011,of:0000000000000007:1 -> of:000000000000000d:5,0.003,0.00375,0.003,0.003,3.46,2026-06-23T15:55:02,0.003,3.33
route_mutation,20260623T155502_077011,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,3.16,2026-06-23T15:55:02,0.002,3.16
route_mutation,20260623T155502_077011,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,3.16,2026-06-23T15:55:02,0.002,3.16
route_mutation,20260623T155502_077011,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,2.2,2026-06-23T15:55:02,0.002,2.16
route_mutation,20260623T155502_077011,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,3.13,2026-06-23T15:55:02,0.002,3.13
route_mutation,20260623T155502_077011,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:55:02,0.002,2.16
route_mutation,20260623T155502_077011,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:55:02,0.002,2.16
route_mutation,20260623T155532_388946,of:0000000000000004:1 -> of:000000000000000c:4,0.001,0.00125,0.001,0.001,1.37,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:0000000000000005:1 -> of:000000000000000c:5,0.001,0.00125,0.001,0.001,1.37,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:000000000000000a:1 -> of:000000000000000d:6,0.001,0.00125,0.001,0.001,1.33,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:000000000000000b:3 -> of:000000000000000d:2,0.001,0.00125,0.001,0.001,1.33,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:000000000000000c:3 -> of:000000000000000d:3,0.001,0.00125,0.001,0.001,1.33,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:0000000000000005:2 -> of:0000000000000009:3,0.001,0.00125,0.001,0.001,1.37,2026-06-23T15:55:32,0.001,1.37
route_mutation,20260623T155532_388946,of:0000000000000001:1 -> of:000000000000000b:1,0.001,0.00125,0.001,0.001,1.27,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:000000000000000b:2 -> of:000000000000000c:2,0.001,0.00125,0.001,0.001,1.33,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:0000000000000001:2 -> of:000000000000000c:1,0.001,0.00125,0.001,0.001,1.27,2026-06-23T15:55:32,0.001,1.33
route_mutation,20260623T155532_388946,of:0000000000000006:2 -> of:000000000000000a:2,0.001,0.00125,0.001,0.001,1.37,2026-06-23T15:55:32,0.001,1.37
route_mutation,20260623T155532_388946,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,1.57,2026-06-23T15:55:32,0.001,1.43
